S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",9400805,11186428,12895568,14819416,17326726,20386004
1.1,Crops,5204052,6123041,7114707,7893514,8644285,9717089
1.2,Livestock,2758776,3358438,3643026,4309078,5155487,5979648
1.3,Forestry and logging,250314,253029,280493,346160,340550,335487
1.4,Fishing and aquaculture,1187663,1451920,1857342,2270664,3186404,4353780
2,Mining and quarrying,1416194,1459027,1419200,1484300,1633100,1757565
Total,Primary,10816999,12645455,14314768,16303716,18959826,22143569
3,Manufacturing,5070622,4237657,4242337,4672266,5078685,5740816
4,"Electricity, gas, water supply & other utility services",1076517,713029,1014130,1151729,1251910,1298947
5,Construction,3702645,3759004,4065131,4664889,4986189,5467732
Total,Secondary,9849784,8709690,9321598,10488884,11316784,12507496
6,"Trade, repair, hotels and restaurants",2673600,3179200,3784900,4233400,4577700,5174600
6.1,Trade & repair services,2322700,2775600,3290800,3716000,3964000,4382200
6.2,Hotels & restaurants,350900,403600,494100,517400,613700,792400
7,"Transport, storage, communication & services related to broadcasting",3251379,3778632,4365811,5076984,5806226,6766317
7.1,Railways,264279,303702,334468,424228,436596,445372
7.2,Road transport,1824800,2200400,2516200,2816000,3217400,3798300
7.3,Water transport,95100,90400,60600,94200,110500,123600
7.4,Air transport,4500,10600,5100,14900,25000,28000
7.5,Services incidental to transport,501800,535500,634700,780200,904200,1020800
7.6,Storage,20700,16600,18700,18700,19000,20600
7.7,Communication & services related to broadcasting,540200,621430,796043,928756,1093530,1329645
8,Financial services,1425608,1584297,1710463,1900863,2125508,2415390
9,"Real estate, ownership of dwelling & professional services",2833805,3434098,3897345,4405409,5092310,5942431
10,Public administration,1393752,1552379,1738971,2200897,2594904,3039676
11,Other services,2730376,3063920,3538298,4215389,5248604,6180240
Total,Tertiary,14308520,16592526,19035788,22032942,25445252,29518654
12,TOTAL GSVA at basic prices,34975303,37947671,42672154,48825542,55721862,64169719
13,Taxes on Products,4243900,4656500,5263500,5512100,6719300,7236500
14,Subsidies on products,1279000,1463800,1508500,1690800,1447800,1475500
15,Gross State Domestic Product,37940203,41140371,46427154,52646842,60993362,69930719
16,Population ('00),492750,495660,498570,501510,504460,507430
17,Per Capita GSDP (Rs.),76997,83001,93121,104977,120908,137814
