S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",455505,545406,603944,686117,744726
1.1,Crops,255815,331962,360344,415520,431318
1.2,Livestock,29657,24249,34027,38387,44386
1.3,Forestry and logging,165510,183780,204038,224017,258676
1.4,Fishing and aquaculture,4523,5415,5535,8193,10346
2,Mining and quarrying,23022,35024,43616,30842,38068
Total,Primary,478527,580430,647560,716959,782794
3,Manufacturing,12900,14827,19714,26120,37743
4,"Electricity, gas, water supply & other utility services",69131,78766,89594,113527,139187
5,Construction,104529,107821,124594,147842,161705
Total,Secondary,186560,201414,233902,287489,338635
6,"Trade, repair, hotels and restaurants",59892,50878,70494,60421,65846
6.1,Trade & repair services,56921,47880,67273,56796,62044
6.2,Hotels & restaurants,2971,2998,3221,3625,3802
7,"Transport, storage, communication & services related to broadcasting",23420,27306,33414,35203,42833
7.1,Railways,30,34,47,59,65
7.2,Road transport,12382,13618,16059,15467,20413
7.3,Water transport,0,0,0,0,0
7.4,Air transport,0,0,0,0,0
7.5,Services incidental to transport,78,89,100,109,121
7.6,Storage,0,0,0,0,0
7.7,Communication & services related to broadcasting,10930,13565,17208,19568,22234
8,Financial services,20884,21562,23571,25207,27548
9,"Real estate, ownership of dwelling & professional services",38261,41869,44949,48418,50432
10,Public administration,135418,149466,183105,243867,265622
11,Other services,142509,167431,189928,218728,257504
Total,Tertiary,420384,458512,545461,631844,709785
12,TOTAL GSVA at basic prices,1085471,1240356,1426923,1636292,1831214
13,Taxes on Products,41341,43899,62683,70099,78392
14,Subsidies on products,20542,29591,29405,30272,31165
15,Gross State Domestic Product,1106270,1254664,1460201,1676119,1878441
16,Population ('00),14000,14280,14570,14870,15160
17,Per Capita GSDP (Rs.),79019,87862,100220,112718,123908
