S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",2848113,3391548,3692959,3855548,4343564
1.1,Crops,2061487,2496905,2720261,2890544,3310990
1.2,Livestock,159289,179160,155267,173478,175526
1.3,Forestry and logging,231388,246368,311458,261987,278521
1.4,Fishing and aquaculture,395949,469115,505973,529539,578527
2,Mining and quarrying,1464989,1448306,1423477,1471149,1493456
Total,Primary,4313102,4839854,5116436,5326697,5837020
3,Manufacturing,1540255,1531538,1904299,2002936,2055341
4,"Electricity, gas, water supply & other utility services",191883,210901,257083,296587,372236
5,Construction,1188747,1270304,1537481,1733568,2093594
Total,Secondary,2920885,3012743,3698863,4033091,4521171
6,"Trade, repair, hotels and restaurants",2045676,2284041,2573962,2987155,3480621
6.1,Trade & repair services,1961211,2191727,2473790,2876251,3353852
6.2,Hotels & restaurants,84465,92314,100172,110904,126769
7,"Transport, storage, communication & services related to broadcasting",810091,929196,1086729,1194568,1392834
7.1,Railways,158334,186316,215234,252509,294682
7.2,Road transport,356262,422930,474743,507668,579295
7.3,Water transport,43626,47129,25033,4502,5023
7.4,Air transport,0,255,9711,26223,29260
7.5,Services incidental to transport,36400,39855,36798,35739,37732
7.6,Storage,6594,7277,8377,10308,12070
7.7,Communication & services related to broadcasting,208875,225434,316833,357619,434772
8,Financial services,427077,457213,515905,543651,591575
9,"Real estate, ownership of dwelling & professional services",1112543,1225917,1316472,1412466,1534435
10,Public administration,821723,929477,982734,1373611,1556575
11,Other services,1077923,1182533,1493924,1795658,2209442
Total,Tertiary,6295033,7008377,7969726,9307109,10765482
12,TOTAL GSVA at basic prices,13529020,14860974,16785025,18666897,21123673
13,Taxes on Products,1203476,1346785,1519305,1725309,1945496
14,Subsidies on products,415005,521335,529808,582406,645770
15,Gross State Domestic Product,14317491,15686424,17774522,19809800,22423399
16,Population ('00),314410,318480,322600,326780,331010
17,Per Capita GSDP (Rs.),45538,49254,55098,60621,67742
