S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",6206655,7669989,7371939,7951890,8095024
1.1,Crops,4260778,5336544,4522339,4688237,4577220
1.2,Livestock,1202821,1481102,1831596,2060296,2247038
1.3,Forestry and logging,418682,457077,500976,550132,591042
1.4,Fishing and aquaculture,324374,395266,517028,653224,679725
2,Mining and quarrying,19858,23429,150804,68107,68549
Total,Primary,6226513,7693418,7522743,8019997,8163574
3,Manufacturing,1466570,1035092,2120942,2189965,2892956
4,"Electricity, gas, water supply & other utility services",365887,442206,385931,345168,363130
5,Construction,2701685,2781005,3184760,3449763,3667664
Total,Secondary,4534142,4258302,5691633,5984896,6923750
6,"Trade, repair, hotels and restaurants",4390442,5175534,5205102,7448373,8789191
6.1,Trade & repair services,4110861,4867227,4873547,7081391,8383018
6.2,Hotels & restaurants,279581,308307,331555,366982,406173
7,"Transport, storage, communication & services related to broadcasting",1754480,2161629,2684993,3147173,3658194
7.1,Railways,275142,334829,395681,462413,540400
7.2,Road transport,840472,1069740,1347912,1572288,1833696
7.3,Water transport,4895,2559,1728,2228,2228
7.4,Air transport,3079,5848,4557,13599,13599
7.5,Services incidental to transport,89270,112022,142482,166600,194712
7.6,Storage,7400,8434,8457,10618,10618
7.7,Communication & services related to broadcasting,534222,628197,784175,919427,1062941
8,Financial services,883932,977417,1122273,1178022,1236540
9,"Real estate, ownership of dwelling & professional services",2802336,3121656,3460385,3740641,4081952
10,Public administration,1358743,1477676,1576835,2078171,2129474
11,Other services,2219262,2804281,3404578,4587589,4845291
Total,Tertiary,13409194,15718193,17454166,22179969,24740642
12,TOTAL GSVA at basic prices,24169849,27669913,30668542,36184863,39827966
13,Taxes on Products,1716948,2118544,2623561,3213546,4067111
14,Subsidies on products,1172402,1551663,1581969,2006421,2544756
15,Gross State Domestic Product,24714396,28236794,31710134,37391988,41350321
16,Population ('00),1050570,1067200,1084080,1101240,1118670
17,Per Capita GSDP (Rs.),23525,26459,29251,33954,36964
