S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",12615,13205,14579,16233,17264
1.1,Crops,1205,1381,1562,1659,1757
1.2,Livestock,10884,11430,12473,13992,14912
1.3,Forestry and logging,291,336,370,388,392
1.4,Fishing and aquaculture,235,58,174,194,203
2,Mining and quarrying,230,215,182,179,176
Total,Primary,12845,13420,14761,16412,17440
3,Manufacturing,101724,113846,134176,149631,161750
4,"Electricity, gas, water supply & other utility services",23897,25678,28433,29741,33875
5,Construction,113825,114102,129295,133321,135054
Total,Secondary,239446,253626,291904,312693,330679
6,"Trade, repair, hotels and restaurants",614134,734772,843872,965781,1059461
6.1,Trade & repair services,558189,673113,776905,890921,977340
6.2,Hotels & restaurants,55945,61659,66967,74860,82121
7,"Transport, storage, communication & services related to broadcasting",93714,108281,121459,148302,159142
7.1,Railways,838,974,1271,1070,1083
7.2,Road transport,34945,43030,45231,54468,64084
7.3,Water transport,0,0,0,0,0
7.4,Air transport,2195,4585,4176,12391,12551
7.5,Services incidental to transport,20460,23608,27357,33211,33641
7.6,Storage,711,762,873,763,780
7.7,Communication & services related to broadcasting,34565,35322,42551,46399,47003
8,Financial services,285574,324887,351409,373045,400650
9,"Real estate, ownership of dwelling & professional services",392976,443135,524923,598448,642729
10,Public administration,127626,154727,166034,183889,203543
11,Other services,106809,123219,143522,156543,175655
Total,Tertiary,1620833,1889021,2151219,2426008,2641180
12,TOTAL GSVA at basic prices,1873124,2156067,2457884,2755113,2989299
13,Taxes on Products,27002,34002,45366,52622,64052
14,Subsidies on products,23337,29209,24529,23309,22907
15,Gross State Domestic Product,1876789,2160860,2478721,2784426,3030444
16,Population ('00),10640,10800,10960,11120,11280
17,Per Capita GSDP (Rs.),176390,200080,226161,250398,268656
