S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",2685950,3180908,3589934,3948847,4341869,4852218
1.1,Crops,1798258,2140927,2395705,2613371,2829924,3132527
1.2,Livestock,226704,255035,310931,352208,412501,467223
1.3,Forestry and logging,426205,503309,559637,597785,672022,778945
1.4,Fishing and aquaculture,234783,281637,323661,385483,427422,473523
2,Mining and quarrying,1970258,1923021,2144358,2451970,2365874,2482291
Total,Primary,4656208,5103929,5734292,6400817,6707743,7334509
3,Manufacturing,2435032,2817915,3810105,4370593,4925000,5403213
4,"Electricity, gas, water supply & other utility services",709991,970686,1051772,1198438,1351026,1461841
5,Construction,1901330,1920771,2260022,2669855,3016954,3391547
Total,Secondary,5046354,5709372,7121899,8238886,9292980,10256601
6,"Trade, repair, hotels and restaurants",932617,1101271,1288982,1535571,1782734,1979656
6.1,Trade & repair services,847597,1011450,1178419,1414164,1666029,1838297
6.2,Hotels & restaurants,85020,89821,110563,121407,116706,141359
7,"Transport, storage, communication & services related to broadcasting",583708,683320,783315,871770,1003151,1165466
7.1,Railways,121509,140418,150098,159176,173471,186151
7.2,Road transport,275736,320533,357128,386628,443855,516676
7.3,Water transport,0,0,0,0,0,0
7.4,Air transport,2217,4215,3337,9507,9842,11038
7.5,Services incidental to transport,3756,4347,4818,5232,5680,6084
7.6,Storage,10189,11689,14026,16675,19415,22675
7.7,Communication & services related to broadcasting,170301,202117,253906,294552,350888,422842
8,Financial services,537699,609344,676094,739057,813950,903006
9,"Real estate, ownership of dwelling & professional services",1755211,1919629,2227586,2462166,2749303,3034840
10,Public administration,549383,611344,781483,867982,1028511,1274761
11,Other services,781803,875123,914758,1112232,1320891,1616648
Total,Tertiary,5140421,5800031,6672218,7588778,8698541,9974377
12,TOTAL GSVA at basic prices,14842983,16613332,19528409,22228481,24699264,27565487
13,Taxes on Products,1704500,2087500,2193874,2601791,3002113,3393144
14,Subsidies on products,740100,949700,1053267,1332092,1623812,1944661
15,Gross State Domestic Product,15807383,17751132,20669016,23498180,26077565,29013970
16,Population ('00),257850,262010,266240,270530,274900,279330
17,Per Capita GSDP (Rs.),61305,67750,77633,86860,94862,103870
