S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",204298,228626,311711,308507,366186
1.1,Crops,102417,108207,126747,140421,159400
1.2,Livestock,23530,26599,31237,30141,43088
1.3,Forestry and logging,11797,12522,13051,15744,19880
1.4,Fishing and aquaculture,66554,81298,140676,122201,143819
2,Mining and quarrying,643618,208663,3977,3622,3678
Total,Primary,847915,437289,315688,312129,369865
3,Manufacturing,1629346,1453493,1091757,1177608,1285215
4,"Electricity, gas, water supply & other utility services",95883,116876,157732,204110,274414
5,Construction,135801,140399,161627,165819,175281
Total,Secondary,1861030,1710767,1411116,1547536,1734910
6,"Trade, repair, hotels and restaurants",259615,259610,284357,380927,470977
6.1,Trade & repair services,231790,229719,251701,343492,427674
6.2,Hotels & restaurants,27825,29891,32656,37434,43303
7,"Transport, storage, communication & services related to broadcasting",155964,141372,135168,189656,186023
7.1,Railways,12158,13498,13559,15649,18061
7.2,Road transport,34683,38841,42533,46171,48971
7.3,Water transport,42442,22267,12790,17820,20561
7.4,Air transport,9731,18426,15901,46359,15904
7.5,Services incidental to transport,29654,18371,12158,19272,30779
7.6,Storage,192,253,306,357,416
7.7,Communication & services related to broadcasting,27105,29716,37921,44028,51330
8,Financial services,172930,205807,219431,233618,248722
9,"Real estate, ownership of dwelling & professional services",268681,311294,353295,407099,471567
10,Public administration,250476,279612,319424,346486,376530
11,Other services,123955,141551,163883,180431,200606
Total,Tertiary,1231621,1339245,1475558,1738217,1954425
12,TOTAL GSVA at basic prices,3940566,3487302,3202361,3597882,4059199
13,Taxes on Products,373700,418200,453647,527279,488600
14,Subsidies on products,77600,93500,63898,61854,47600
15,Gross State Domestic Product,4236666,3812002,3592110,4063307,4500199
16,Population ('00),14650,14750,14850,14950,15051
17,Per Capita GSDP (Rs.),289192,258441,241893,271793,299003
