S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",10736422,9917095,13040117,13769969,14233763
1.1,Crops,7950972,6767738,9556409,9671086,9516349
1.2,Livestock,1850549,2011439,2316038,2698910,3164273
1.3,Forestry and logging,611318,770303,715171,761616,858369
1.4,Fishing and aquaculture,323584,367616,452499,638357,694772
2,Mining and quarrying,1850611,2315728,2026283,2117218,2276009
Total,Primary,12587033,12232823,15066400,15887187,16509773
3,Manufacturing,15681931,20692579,21997752,24087538,26640817
4,"Electricity, gas, water supply & other utility services",2190546,2679262,2890694,3409983,3812361
5,Construction,4469267,4702959,5352370,5526017,5968098
Total,Secondary,22341743,28074800,30240816,33023538,36421276
6,"Trade, repair, hotels and restaurants",6646396,8457461,8991796,10178713,10697827
6.1,Trade & repair services,6646396,8457461,8991796,10178713,10697827
6.2,Hotels & restaurants,NA,NA,NA,NA,NA
7,"Transport, storage, communication & services related to broadcasting",3253230,3715274,4015345,4555910,5105238
7.1,Railways,328792,363157,384751,511593,596006
7.2,Road transport,NA,NA,NA,NA,NA
7.3,Water transport,NA,NA,NA,NA,NA
7.4,Air transport,NA,NA,NA,NA,NA
7.5,Services incidental to transport*,2126306,2434819,2485294,2744163,3051509
7.6,Storage,36202,40557,46042,57634,66101
7.7,Communication & services related to broadcasting,761929,876741,1099258,1242520,1391622
8,Financial services,2942743,3461652,4116751,4606644,5210114
9,"Real estate, ownership of dwelling & professional services",3481417,3969395,4564674,5179502,5916201
10,Public administration,1917276,2184966,2373071,2576195,2887915
11,Other services,2022268,2419178,2739442,3123413,3628248
Total,Tertiary,20263330,24207926,26801079,30220377,33445543
12,TOTAL GSVA at basic prices,55192107,64515549,72108295,79131102,86376592
13,Taxes on Products,7700384,9515745,10380816,12353171.04,15317932.09
14,Subsidies on products,1331884,1581757.841,1726792,1981546,2262925.532
15,Gross State Domestic Product,61560607,72449536,80762319,89502727,99431599
16,Population ('00),609060,617130,625300,633590,641990
17,Per Capita GSDP (Rs.),101075,117398,129158,141263,154880
