S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",6453886,7150666,7929914,8015238,8396709,9466087
1.1,Crops,4088737,4457601,4951547,4636731,4727367,5469577
1.2,Livestock,1889817,2160183,2483010,2916173,3225085,3524563
1.3,Forestry and logging,389490,432560,400345,352254,356483,347491
1.4,Fishing and aquaculture,85843,100322,95012,110080,87774,124457
2,Mining and quarrying,11882,10013,30643,25186,47743,95975
Total,Primary,6465768,7160679,7960557,8040424,8444452,9562062
3,Manufacturing,5328609,6663757,7386437,7756921,8487531,9098633
4,"Electricity, gas, water supply & other utility services",344604,647542,990052,1101919,1436434,1771999
5,Construction,2975966,3042391,3571936,3702571,3930821,4232315
Total,Secondary,8649179,10353690,11948425,12561411,13854787,15102947
6,"Trade, repair, hotels and restaurants",3310742,3881872,4337016,4986319,5500429,6173305
6.1,Trade & repair services,3191526,3750911,4195470,4817784,5307508,5951557
6.2,Hotels & restaurants,119216,130961,141546,168535,192922,221748
7,"Transport, storage, communication & services related to broadcasting",1727689,1965560,2226172,2560623,2859546,3201201
7.1,Railways,268949,333924,349621,423873,473961,533680
7.2,Road transport,1004452,1137035,1283657,1452364,1595178,1745342
7.3,Water transport,NA,NA,NA,NA,NA,NA
7.4,Air transport,NA,NA,NA,NA,NA,NA
7.5,Services incidental to transport,139222,156962,163774,190269,211159,234366
7.6,Storage,11955,16530,14378,14459,11646,11876
7.7,Communication & services related to broadcasting,303112,321109,414741,479658,567602,675936
8,Financial services,1165659,1321389,1483809,1671486,1811965,2002221
9,"Real estate, ownership of dwelling & professional services",4092800,5007987,6262214,6970183,7855396,8970862
10,Public administration,729814,822186,885660,1036377,1154920,1363217
11,Other services,1265812,1476085,1652825,2001581,2328010,2753390
Total,Tertiary,12292516,14475079,16847695,19226568,21510266,24464197
12,TOTAL GSVA at basic prices,27407463,31989448,36756677,39828404,43809505,49129206
13,Taxes on Products,3321210,3894111,4365329,4985670,5792396,6729658
14,Subsidies on products,974821,1180358,1055793,1067867,1083502,1119258
15,Gross State Domestic Product,29753852,34703201,40066212,43746207,48518399,54739606
16,Population ('00),255600,259220,262900,266620,270400,274230
17,Per Capita GSDP (Rs.),116408,133875,152401,164077,179432,199612
