S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",1306347,1565299,1762444,1586705,2097916
1.1,Crops,795339,1030812,1237885,949424,1244373
1.2,Livestock,344125,345875,345599,433133,639649
1.3,Forestry and logging,134536,154145,144575,168093,173909
1.4,Fishing and aquaculture,32348,34466,34385,36055,39984
2,Mining and quarrying,32931,77086,34725,33621,64900
Total,Primary,1339278,1642385,1797169,1620326,2162816
3,Manufacturing,797560,785118,835783,893207,910836
4,"Electricity, gas, water supply & other utility services",616233,593349,545187,597421,621724
5,Construction,652780,693202,786175,785503,839928
Total,Secondary,2066574,2071669,2167145,2276132,2372488
6,"Trade, repair, hotels and restaurants",667074,803903,903952,889931,1043651
6.1,Trade & repair services,590434,725845,824586,807552,970413
6.2,Hotels & restaurants,76640,78059,79366,82379,73239
7,"Transport, storage, communication & services related to broadcasting",471747,554712,630336,712552,978570
7.1,Railways,12315,14326,15835,17752,19890
7.2,Road transport,344034,397905,433271,464711,725178
7.3,Water transport,0,0,0,0,0
7.4,Air transport,7900,15984,12638,34922,15195
7.5,Services incidental to transport,626,725,806,865,1328
7.6,Storage,0,2,2,2,2
7.7,Communication & services related to broadcasting,106872,125770,167784,194300,216977
8,Financial services,226052,266655,324212,374011,401929
9,"Real estate, ownership of dwelling & professional services",948348,1056413,1200458,1340082,1473362
10,Public administration,1127470,1219248,1216969,1349880,1651079
11,Other services,629362,690692,849346,946826,1048334
Total,Tertiary,4070053,4591623,5125273,5613282,6596926
12,TOTAL GSVA at basic prices,7475905,8305677,9089587,9509739,11132230
13,Taxes on Products,551520,658405,748270,764270,936835
14,Subsidies on products,202038,253615,248582,233563,230338
15,Gross State Domestic Product,7825387,8710467,9589275,10040446,11838727
16,Population ('00),126520,128450,130410,132390,134410
17,Per Capita GSDP (Rs.),61851,67812,73532,75840,88079
