S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",2233546,2550211,2844215,3211065,3632150
1.1,Crops,1342099,1611776,1812103,2094466,2431179
1.2,Livestock,477585,459416,493408,562503,594001
1.3,Forestry and logging,357560,399912,438916,445149,478733
1.4,Fishing and aquaculture,56302,79107,99788,108947,128237
2,Mining and quarrying,1620374,1879069,1858615,2037289,2199381
Total,Primary,3853920,4429280,4702830,5248354,5831531
3,Manufacturing,3016583,3797607,3660373,4114148,4569985
4,"Electricity, gas, water supply & other utility services",241235,302773,335541,337489,379501
5,Construction,1439526,1455717,1699296,1789834,1927075
Total,Secondary,4697344,5556097,5695210,6241471,6876561
6,"Trade, repair, hotels and restaurants",1152143,1383070,1595751,1991359,2387496
6.1,Trade & repair services,1065983,1272474,1479141,1840196,2204400
6.2,Hotels & restaurants,86160,110596,116610,151163,183096
7,"Transport, storage, communication & services related to broadcasting",975954,1148809,1325607,1470022,1690746
7.1,Railways,297906,362089,404019,472702,551345
7.2,Road transport,458247,530804,608092,649648,729492
7.3,Water transport,0,NA,0,0,0
7.4,Air transport,1373,2448,3362,6716,11455
7.5,Services incidental to transport,22315,26547,27554,17436,16136
7.6,Storage,384,388,378,306,284
7.7,Communication & services related to broadcasting,195729,226533,282202,323214,382034
8,Financial services,414386,462493,509609,551441,606546
9,"Real estate, ownership of dwelling & professional services",1101151,1290003,1450196,1656784,1898288
10,Public administration,981782,927373,928783,1088325,1126349
11,Other services,736279,885544,1045235,1375410,1690431
Total,Tertiary,5361695,6097292,6855181,8133341,9399856
12,TOTAL GSVA at basic prices,13912959,16082669,17253221,19623166,22107948
13,Taxes on Products,1511500,1822100,1992669,2499171,2499171
14,Subsidies on products,332700,432400,389228,411619,411619
15,Gross State Domestic Product,15091759,17472369,18856662,21710718,24195500
16,Population ('00),333020,338480,344020,349660,355380
17,Per Capita GSDP (Rs.),45318,51620,54813,62091,68083
