S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",7554868,8180610,9670052,11219422,10806128
1.1,Crops,5339455,5749544,6992419,8157179,7517661
1.2,Livestock,1349662,1506993,1634066,1868771,2117661
1.3,Forestry and logging,593458,604866,658629,693082,720704
1.4,Fishing and aquaculture,272293,319207,384938,500390,450102
2,Mining and quarrying,450254,407345,617181,846882,413803
Total,Primary,8005122,8587955,10287233,12066304,11219931
3,Manufacturing,9713888,10850509,11794288,12953843,14170107
4,"Electricity, gas, water supply & other utility services",1082882,1147835,1275595,1425762,1502906
5,Construction,5033145,5233950,5940134,6104799,6586669
Total,Secondary,15829915,17232294,19010018,20484404,22259682
6,"Trade, repair, hotels and restaurants",6044367,6965384,8309100,8991658,9894203
6.1,Trade & repair services,4957019,5774921,7007816,7523720,8234129
6.2,Hotels & restaurants,1087348,1190463,1301284,1467938,1660073
7,"Transport, storage, communication & services related to broadcasting",3351079,3839568,4405851,5097652,6072643
7.1,Railways,202215,229754,229577,259482,335247
7.2,Road transport,2195731,2533015,2870094,3194576,3782060
7.3,Water transport,26907,25331,22460,24152,23882
7.4,Air transport,37365,67807,56345,171785,227201
7.5,Services incidental to transport,47206,39823,44645,55349,61998
7.6,Storage,27642,31514,34986,42787,48175
7.7,Communication & services related to broadcasting,814013,912325,1147745,1349520,1594080
8,Financial services,2879395,3211947,3610955,4094169,4482507
9,"Real estate, ownership of dwelling & professional services",14366759,17695719,21856110,24766393,29229656
10,Public administration,1488762,1785628,2060700,2232584,2376712
11,Other services,3256051,3837408,4501578,5308174,6267020
Total,Tertiary,31386414,37335654,44744294,50490630,58322740
12,TOTAL GSVA at basic prices,55221451,63155902,74041545,83041338,91802353
13,Taxes on Products,7037506,8251452,9806976,11026674,12810724.62
14,Subsidies on products,1881201,2237308,2059966,1889206,1906295.329
15,Gross State Domestic Product,60377756,69170046,81788555,92178806,102706783
16,Population ('00),614820,621510,628270,635100,642010
17,Per Capita GSDP (Rs.),98204,111294,130181,145141,159977
