S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",9107231,12640261,14859567,16235647,17861367,23308835
1.1,Crops,7333369,10540449,12457830,13216013,13958549,18661843
1.2,Livestock,897640,1129978,1363179,1932769,2745187,3375141
1.3,Forestry and logging,811315,892627,943162,965588,1018504,1091337
1.4,Fishing and aquaculture,64907,77207,95396,121277,139127,180514
2,Mining and quarrying,1171195,1260187,1548066,1618373,1686385,1924216
Total,Primary,10278426,13900448,16407633,17854020,19547752,25233051
3,Manufacturing,3828625,4171724,4018450,4368833,4730335,5175608
4,"Electricity, gas, water supply & other utility services",903127,1011624,1161616,1272905,1520303,1679614
5,Construction,3495447,3499404,4080463,4403151,4772101,5186891
Total,Secondary,8227199,8682752,9260529,10044889,11022739,12042113
6,"Trade, repair, hotels and restaurants",3378935,4128368,4714291,5357515,6237544,6914838
6.1,Trade & repair services,3149375,3873696,4427944,5053625,5901007,6556695
6.2,Hotels & restaurants,229560,254672,286347,303890,336537,358143
7,"Transport, storage, communication & services related to broadcasting",1831032,2199650,2505384,2865802,3329850,3806046
7.1,Railways,318912,436586,457608,498734,581300,617543
7.2,Road transport,949685,1096094,1209997,1369235,1538680,1705112
7.3,Water transport,0,0,0,0,0,0
7.4,Air transport,4209,8197,6141,26746,26745,54206
7.5,Services incidental to transport,25479,29362,32489,36694,41412,46101
7.6,Storage,18514,23059,26256,29012,33987,38059
7.7,Communication & services related to broadcasting,514233,606352,772893,905381,1107726,1345025
8,Financial services,1593654,1732129,1920614,1988794,2384124,2674933
9,"Real estate, ownership of dwelling & professional services",1639308,1945857,2279709,2660123,3085987,3499140
10,Public administration,1629141,1907083,2164636,2497321,2873690,3221560
11,Other services,1791096,2145512,2359317,2747805,3200937,3511083
Total,Tertiary,11863166,14058599,15943951,18117360,21112132,23627600
12,TOTAL GSVA at basic prices,30368791,36641799,41612113,46016269,51682623,60902764
13,Taxes on Products,2983400,3717500,4087700,4284700,4960400,5570200
14,Subsidies on products,1796100,2266900,1926100,2102800,2245500,2424600
15,Gross State Domestic Product,31556091,38092399,43773713,48198169,54397523,64048364
16,Population ('00),732470,743220,754120,765180,776410,787800
17,Per Capita GSDP (Rs.),43082,51253,58046,62989,70063,81300
