S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",14517809,15443212,18586360,16475655
1.1,Crops,9851618,10182217,13079162,10435121
1.2,Livestock,2855741,3282569,3499939,3972829
1.3,Forestry and logging,1516574,1626793,1622060,1592564
1.4,Fishing and aquaculture,293875,351634,385199,475141
2,Mining and quarrying,5649313,5902340,5205701,5282727
Total,Primary,20167122,21345552,23792061,21758383
3,Manufacturing,24603175,28203191,31267420,33660294
4,"Electricity, gas, water supply & other utility services",2617289,2852444,4028665,4334702
5,Construction,7863028,8186890,8867104,9450211
Total,Secondary,35083491,39242525,44163189,47445207
6,"Trade, repair, hotels and restaurants",10560911,12779220,13826084,15839100
6.1,Trade & repair services,9422900,11507640,12433410,14286902
6.2,Hotels & restaurants,1138011,1271580,1392674,1552198
7,"Transport, storage, communication & services related to broadcasting",6450024,7485340,8371252,9697246
7.1,Railways,598786,649139,686231,797933
7.2,Road transport,3122427,3589076,4065463,4644123
7.3,Water transport,122650,187220,172703,223626
7.4,Air transport,99047,183101,144304,174188
7.5,Services incidental to transport,825433,973656,1040005,1175023
7.6,Storage,92479,101918,116229,131237
7.7,Communication & services related to broadcasting,1589202,1801230,2146318,2551115
8,Financial services,11783628,12909085,14993996,16143324
9,"Real estate, ownership of dwelling & professional services",19086971,22457025,26166722,30718051
10,Public administration,3906953,4337362,4763853,5426991
11,Other services,6662495,7831781,9199390,10806363
Total,Tertiary,58450982,67799813,77321297,88631076
12,TOTAL GSVA at basic prices,113701595,128387890,145276547,157834665
13,Taxes on Products,16208500,19830400,23005600,25394800
14,Subsidies on products,2613400,3371700,3531500,4017300
15,Gross State Domestic Product,127296695,144846590,164750647,179212165
16,Population ('00),1131530,1145010,1158650,1172450
17,Per Capita GSDP (Rs.),112500,126502,142192,152853
