S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",251623,297165,349942,383140
1.1,Crops,137772,168583,205623,226583
1.2,Livestock,52587,58268,67294,75483
1.3,Forestry and logging,42183,43885,43188,45831
1.4,Fishing and aquaculture,19081,26429,33836,35243
2.       ,Mining and quarrying,NA,NA,NA,NA
Total,Primary,251623,297165,349942,383140
3.       ,Manufacturing,40990,30594,46011,49501
4.       ,"Electricity, gas, water supply & other utility services",54276,55506,48391,27490
5.       ,Construction,100712,106164,120023,143182
Total,Secondary,195978,192264,214425,220173
6.       ,"Trade, repair, hotels and restaurants",156450,140653,217288,262950
6.1,Trade & repair services,149457,132930,208884,253637
6.2,Hotels & restaurants,6993,7723,8404,9313
7.       ,"Transport, storage, communication & services related to broadcasting",70408,87255,98126,109726
7.1,Railways,2,3,5,6
7.2,Road transport,43561,53400,56436,58974
7.3,Water transport,NA,NA,NA,NA
7.4,Air transport,1999,3502,2499,6288
7.5,Services incidental to transport,1816,2226,2330,2441
7.6,Storage,0,NA,NA,NA
7.7,Communication & services related to broadcasting,23030,28124,36856,42017
8.       ,Financial services,23400,25705,28663,30315
9.       ,"Real estate, ownership of dwelling & professional services",134847,144304,152279,159335
10.   ,Public administration,231790,243900,252574,297078
11.   ,Other services,208417,241678,272290,317930
Total,Tertiary,825312,883495,1021220,1177334
12,TOTAL GSVA at basic prices,1272913,1372924,1585587,1780647
13,Taxes on Products,48918,46019,77021,92766
14,Subsidies on products,30370,44163,42765,69137
15,Gross State Domestic Product,1291461,1374779,1619843,1804276
16,Population ('00),28925,29561,30210,30873
17,Per Capita GSDP (Rs.),44649,46507,53619,58442
