S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",282868,322670,344514,366521,401331,433602
1.1,Crops,163103,198591,208494,223330,245122,267849
1.2,Livestock,59593,60863,69345,72442,75531,78611
1.3,Forestry and logging,56090,55730,58137,61166,62680,64881
1.4,Fishing and aquaculture,4082,7486,8538,9583,17998,22261
2,Mining and quarrying,139436,122745,188716,84529,86582,90932
Total,Primary,422304,445415,533230,451050,487913,524534
3,Manufacturing,464603,493214,399384,433213,484399,532284
4,"Electricity, gas, water supply & other utility services",45558,70063,42870,54473,57931,59784
5,Construction,113619,103723,117094,150256,162705,179073
Total,Secondary,623780,667000,559348,637942,705035,771141
6,"Trade, repair, hotels and restaurants",258058,321598,374564,383974,409337,452787
6.1,Trade & repair services,239040,300758,351794,357727,378937,417559
6.2,Hotels & restaurants,19018,20840,22770,26247,30400,35228
7,"Transport, storage, communication & services related to broadcasting",95615,114541,129657,148189,173458,210783
7.1,Railways,0,0,0,0,0,0
7.2,Road transport,70235,82990,90559,105783,125359,153641
7.3,Water transport,NA,NA,NA,NA,NA,NA
7.4,Air transport,325,605,525,1443,1717,2112
7.5,Services incidental to transport,NA,NA,NA,NA,NA,NA
7.6,Storage,288,320,364,416,474,539
7.7,Communication & services related to broadcasting,24767,30625,38209,40547,45908,54491
8,Financial services,55825,56562,60604,64091,69815,74891
9,"Real estate, ownership of dwelling & professional services",115443,127014,137835,150409,161674,175724
10,Public administration,177913,183125,208108,239782,248077,264438
11,Other services,143244,158612,181083,214211,246233,286068
Total,Tertiary,846097,961451,1091850,1200655,1308595,1464691
12,TOTAL GSVA at basic prices,1892182,2073867,2184428,2289647,2501543,2760366
13,Taxes on Products,152456,183013,175549,213272,238522,260542
14,Subsidies on products,52863,69677,66154,62112,65542,64218
15,Gross State Domestic Product,1991775,2187202,2293824,2440807,2674523,2956690
16,Population ('00),30040,30690,31350,32020,32710,33410
17,Per Capita GSDP (Rs.),66304,71268,73168,76228,81765,88497
