S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",373363,450256,556609,607897
1.1,Crops,204304,257414,340577,375825
1.2,Livestock,83147,102361,115312,123800
1.3,Forestry and logging,79569,83502,93029,99802
1.4,Fishing and aquaculture,6344,6978,7690,8470
2,Mining and quarrying,5660,6621,8005,8280
Total,Primary,379022,456877,564614,616178
3,Manufacturing,15122,19400,16831,18346
4,"Electricity, gas, water supply & other utility services",29524,33796,34633,37944
5,Construction,105135,113744,117862,156072
Total,Secondary,149782,166940,169326,212361
6,"Trade, repair, hotels and restaurants",105152,124506,129374,140781
6.1,Trade & repair services,100064,118795,123498,134174
6.2,Hotels & restaurants,5088,5711,5876,6607
7,"Transport, storage, communication & services related to broadcasting",57815,63547,71190,77521
7.1,Railways,376,449,285,336
7.2,Road transport,32072,36447,34417,34548
7.3,Water transport,1319,690,466,600
7.4,Air transport,937,1744,1515,4153
7.5,Services incidental to transport,0,0,0,0
7.6,Storage,63,97,80,89
7.7,Communication & services related to broadcasting,23049,24120,34427,37794
8,Financial services,47701,53134,57079,60393
9,"Real estate, ownership of dwelling & professional services",129296,139146,147986,159651
10,Public administration,182188,195575,264724,295424
11,Other services,155696,196428,237768,259186
Total,Tertiary,677849,772336,908121,992956
12,TOTAL GSVA at basic prices,1206653,1396153,1642062,1821495
13,Taxes on Products,34970,39159,50423,57674
14,Subsidies on products,57711,73435,31300,37745
15,Gross State Domestic Product,1183912,1361877,1661185,1841424
16,Population ('00),19910,20120,20340,20550
17,Per Capita GSDP (Rs.),59463,67688,81671,89607
