S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",3899782,5319539,5545889,6422978,5923233,6944503
1.1,Crops,2508626,3688187,3713058,4382636,3634239,4435505
1.2,Livestock,538480,649537,735973,788243,862852,982547
1.3,Forestry and logging,584641,635319,730574,791463,852212,871261
1.4,Fishing and aquaculture,268035,346496,366283,460636,573930,655191
2,Mining and quarrying,2648738,2663875,2861660,2586328,2536315,2565292
Total,Primary,6548520,7983414,8407548,9009306,8459548,9509795
3,Manufacturing,4116404,4212453,5168498,5754229,6084214,6369453
4,"Electricity, gas, water supply & other utility services",498975,621278,703664,833067,954884,1028710
5,Construction,2059629,2074154,2314664,2402396,2595864,2783835
Total,Secondary,6675009,6907885,8186826,8989693,9634962,10181998
6,"Trade, repair, hotels and restaurants",2035854,2436044,2769620,3149555,3472581,3831417
6.1,Trade & repair services,1838866,2218946,2533465,2886789,3186965,3518412
6.2,Hotels & restaurants,196989,217098,236155,262766,285617,313005
7,"Transport, storage, communication & services related to broadcasting",1347538,1560857,1771254,2034016,2288366,2560875
7.1,Railways,179466,233719,266785,341494,392608,443594
7.2,Road transport,693450,802859,892415,973144,1104364,1235376
7.3,Water transport,41962,42597,42862,50349,50873,53726
7.4,Air transport,3421,7232,5311,15354,16298,19684
7.5,Services incidental to transport,80536,87715,98780,117469,121943,134360
7.6,Storage,13967,15384,18233,22675,23106,26398
7.7,Communication & services related to broadcasting,334737,371354,446868,513531,579174,647737
8,Financial services,796303,910354,962328,1065147,1192545,1269519
9,"Real estate, ownership of dwelling & professional services",1707147,1901721,2146627,2348714,2558724,2830137
10,Public administration,863077,980808,1390657,1318221,1333157,1489687
11,Other services,1738239,1892760,1932774,2340603,2771634,3197566
Total,Tertiary,8488159,9682545,10973261,12256258,13617007,15179201
12,TOTAL GSVA at basic prices,21711688,24573844,27567635,30255256,31711518,34870994
13,Taxes on Products,2031089,2340292,2715614,3151184,3623265,4179956
14,Subsidies on products,955550,1086627,1112340,1209349,1146050,1151825
15,Gross State Domestic Product,22787227,25827509,29170909,32197092,34188733,37899126
16,Population ('00),422220,426510,430840,435220,439630,444100
17,Per Capita GSDP (Rs.),53970,60555,67707,73979,77767,85339
