S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",75378,90421,97627,113156,129392,146798
1.1,Crops,20453,30492,32407,38878,46166,53913
1.2,Livestock,32214,36707,39975,45358,51880,57027
1.3,Forestry and logging,3319,3388,3331,3931,4423,4854
1.4,Fishing and aquaculture,19392,19834,21914,24989,26923,31004
2,Mining and quarrying,25362,36566,43924,33272,36585,40943
Total,Primary,100740,126987,141551,146428,165977,187741
3,Manufacturing,427827,437890,580331,618297,619640,640253
4,"Electricity, gas, water supply & other utility services",22711,26802,29739,60624,70570,83038
5,Construction,244130,245390,297167,316205,333021,352344
Total,Secondary,694668,710082,907237,995126,1023231,1075635
6,"Trade, repair, hotels and restaurants",147477,188941,190310,200290,269202,311676
6.1,Trade & repair services,127194,166686,166269,171312,229835,263707
6.2,Hotels & restaurants,20283,22255,24041,28978,39367,47969
7,"Transport, storage, communication & services related to broadcasting",67419,76048,83063,88192,96191,115122
7.1,Railways,200,203,226,263,300,344
7.2,Road transport,41200,47180,49118,49909,52444,63216
7.3,Water transport,3968,3989,3161,2946,3966,4169
7.4,Air transport,0,0,0,0,0,0
7.5,Services incidental to transport,689,793,949,1071,1488,1980
7.6,Storage,51,45,29,28,32,42
7.7,Communication & services related to broadcasting,21311,23838,29580,33975,37961,45371
8,Financial services,59157,63963,68944,72252,76372,88560
9,"Real estate, ownership of dwelling & professional services",144860,170936,206980,251106,286536,327407
10,Public administration,80270,87479,74652,82612,94510,120461
11,Other services,186610,222709,246164,283268,324341,378281
Total,Tertiary,685793,810076,870113,977720,1147152,1341507
12,TOTAL GSVA at basic prices,1481201,1647145,1918901,2119274,2336360,2604883
13,Taxes on Products,249800,297500,321410,331269,357060,377200
14,Subsidies on products,49200,57100,53299,41686,40074,26344
15,Gross State Domestic Product,1681801,1887545,2187012,2408857,2653346,2955739
16,Population ('00),12670,13010,13350,13710,14070,14450
17,Per Capita GSDP (Rs.),132739,145084,163821,175701,188582,204549
