S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",7816825,8373465,9030656,9285716
1.1,Crops,5007937,5314252,5734357,5690972
1.2,Livestock,2034580,2222010,2445208,2638842
1.3,Forestry and logging,715707,769611,758874,848245
1.4,Fishing and aquaculture,58601,67592,92217,107657
2,Mining and quarrying,3682,2057,8707,10354
Total,Primary,7820507,8375522,9039363,9296070
3,Manufacturing,3750728,4067078,4419233,4790341
4,"Electricity, gas, water supply & other utility services",714903,816016,856238,911611
5,Construction,1978423,2054740,2129015,2202962
Total,Secondary,6444054,6937833,7404486,7904914
6,"Trade, repair, hotels and restaurants",2532467,2993141,3752484,4419919
6.1,Trade & repair services,2371685,2815726,3555016,4201252
6.2,Hotels & restaurants,160781,177415,197468,218667
7,"Transport, storage, communication & services related to broadcasting",1321324,1540246,1736148,1951809
7.1,Railways,190402,228932,215046,233389
7.2,Road transport,625062,708851,823463,928575
7.3,Water transport,0,0,0,0
7.4,Air transport,2464,4658,3967,4473
7.5,Services incidental to transport,32147,36862,42676,48124
7.6,Storage,48043,91143,64027,76429
7.7,Communication & services related to broadcasting,423205,469800,586969,660819
8,Financial services,1464304,1655979,1836932,2057520
9,"Real estate, ownership of dwelling & professional services",2274674,2574058,2849529,3142786
10,Public administration,1269455,1486914,1629661,1842730
11,Other services,2250644,2520089,2909626,3303041
Total,Tertiary,11112868,12770426,14714380,16717805
12,TOTAL GSVA at basic prices,25377429,28083782,31158229,33918789
13,Taxes on Products,2192500,2726900,3252700,3794100
14,Subsidies on products,907100,1037300,939500,911800
15,Gross State Domestic Product,26662829,29773382,33471429,36801089
16,Population ('00),279547,283207,286916,290673
17,Per Capita GSDP (Rs.),95379,105129,116659,126606
