S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",11910650,13572561,14418664,15044394
1.1,Crops,7346942,8389344,8675414,7673441
1.2,Livestock,3113617,3523365,3962174,5356257
1.3,Forestry and logging,1416986,1622443,1738606,1956660
1.4,Fishing and aquaculture,33105,37408,42470,58036
2,Mining and quarrying,1841530,3395874,3716758,4069385
Total,Primary,13752181,16968435,18135422,19113780
3,Manufacturing,6666606,5627437,6015398,6552580
4,"Electricity, gas, water supply & other utility services",763271,1059921,979452,1122888
5,Construction,4359171,4568112,4965979,5353326
Total,Secondary,11789049,11255470,11960829,13028794
6,"Trade, repair, hotels and restaurants",4374625,5241569,6201013,7297290
6.1,Trade & repair services,4097894,4943212,5878264,6942748
6.2,Hotels & restaurants,276731,298357,322749,354543
7,"Transport, storage, communication & services related to broadcasting",2312809,2748068,3300711,3814461
7.1,Railways,240962,336900,401763,464638
7.2,Road transport,1410655,1636644,1906004,2121206
7.3,Water transport,0,0,0,0
7.4,Air transport,6698,12715,10561,13469
7.5,Services incidental to transport,31956,37192,43300,47609
7.6,Storage,10113,11053,13916,16584
7.7,Communication & services related to broadcasting,612425,713565,925166,1150955
8,Financial services,1364042,1494592,1717985,1827413
9,"Real estate, ownership of dwelling & professional services",4133721,4921093,5613758,6451997
10,Public administration,1467926,1593519,2001087,2460364
11,Other services,2481856,2892295,3357215,4164287
Total,Tertiary,16134979,18891136,22191768,26015812
12,TOTAL GSVA at basic prices,41676209,47115041,52288019,58158386
13,Taxes on Products,3395875,4206109,4799113,5394503
14,Subsidies on products,1425555,1920765,2117072,2333442
15,Gross State Domestic Product,43646529,49400385,54970060,61219447
16,Population ('00),691240,701220,711340,721610
17,Per Capita GSDP (Rs.),63142,70449,77277,84837
