S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",90137,108278,122419,137447,159217
1.1,Crops,78207,94942,104440,114976,130878
1.2,Livestock,7627,8747,12986,17338,22925
1.3,Forestry and logging,4017,4137,4471,4529,4715
1.4,Fishing and aquaculture,287,452,523,604,699
2,Mining and quarrying,800,896,1238,1329,1584
Total,Primary,90937,109173,123658,138776,160801
3,Manufacturing,430623,462562,526856,550697,583579
4,"Electricity, gas, water supply & other utility services",186623,183906,184113,212499,222468
5,Construction,67095,67755,75613,82058,87830
Total,Secondary,684341,714223,786582,845253,893877
6,"Trade, repair, hotels and restaurants",31446,54858,69953,70568,80587
6.1,Trade & repair services,26677,49790,64502,64624,73799
6.2,Hotels & restaurants,4769,5069,5450,5945,6789
7,"Transport, storage, communication & services related to broadcasting",28365,36020,42349,47347,56397
7.1,Railways,0,0,0,0,0
7.2,Road transport,21351,28414,31829,35283,41863
7.3,Water transport,0,0,0,0,0
7.4,Air transport,0,0,0,0,0
7.5,Services incidental to transport,0,0,0,0,0
7.6,Storage,0,0,0,0,0
7.7,Communication & services related to broadcasting,7014,7606,10520,12064,14534
8,Financial services,16521,17692,19924,21079,22871
9,"Real estate, ownership of dwelling & professional services",58394,63935,68702,75330,82007
10,Public administration,74027,85145,94138,119514,140444
11,Other services,105179,115696,126386,149265,167844
Total,Tertiary,313932,373345,421451,483103,550151
12,TOTAL GSVA at basic prices,1089210,1196742,1331690,1467133,1604829
13,Taxes on Products,40600,53900,71800,72200,78976
14,Subsidies on products,13300,16800,17300,18400,20127
15,Gross State Domestic Product,1116510,1233842,1386190,1520933,1663678
16,Population ('00),6140,6210,6270,6330,6400
17,Per Capita GSDP (Rs.),181842,198686,221083,240274,259950
