S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",8773221,8439666,10867130,13064238,13143892,13707951
1.1,Crops,5375639,4696306,6294046,7297820,7280028,7557588
1.2,Livestock,2617944,2972027,3738883,4693361,4765971,4995138
1.3,Forestry and logging,355528,338087,399307,392705,415952,434416
1.4,Fishing and aquaculture,424110,433247,434895,680352,681941,720809
2,Mining and quarrying,326843,317889,318743,265536,261638,276321
Total,Primary,9100064,8757555,11185873,13329774,13405530,13984272
3,Manufacturing,15176801,17826090,18137892,18914794,20142365,21026591
4,"Electricity, gas, water supply & other utility services",795604,1267240,1303592,1710379,2073838,2336516
5,Construction,9247221,10235650,11418102,12216718,13395808,14533745
Total,Secondary,25219626,29328980,30859585,32841892,35612011,37896853
6,"Trade, repair, hotels and restaurants",7930219,9691628,11344765,12895842,14567728,15372472
6.1,Trade & repair services,6893400,8505165,9967754,11252588,12593468,13171329
6.2,Hotels & restaurants,1036819,1186463,1377011,1643253,1974260,2201143
7,"Transport, storage, communication & services related to broadcasting",5337904,6145938,6726593,7188320,8008838,8780319
7.1,Railways,316026,370416,401984,468553,548315,581276
7.2,Road transport,2866546,3309408,3581990,3660994,3851117,3978671
7.3,Water transport,66379,62574,59573,70414,83962,100526
7.4,Air transport,43317,80632,62921,180836,339750,492323
7.5,Services incidental to transport*,822307,951481,939475,864407,980474,1113679
7.6,Storage,26961,28773,33162,39834,48814,60273
7.7,Communication & services related to broadcasting,1196369,1342653,1647489,1903283,2156406,2453571
8,Financial services,4019599,4466210,5088062,5598498,5990393,6849037
9,"Real estate, ownership of dwelling & professional services",10253371,12096018,14291455,16830213,19831868,23022995
10,Public administration,2598408,2572501,2962600,3400800,3728920,4561182
11,Other services,4842953,5483888,6378431,7430115,8569379,9858347
Total,Tertiary,34982454,40456183,46791906,53343788,60697126,68444352
12,TOTAL GSVA at basic prices,69302145,78542719,88837364,99515453,109714667,120325477
13,Taxes on Products,8455881,10014105,10988371,12507325,14407032,16216539
14,Subsidies on products,2609517,3008738,2716748,2766405,2854900,2665416
15,Gross State Domestic Product,75148509,85548086,97108987,109256373,121266799,133876600
16,Population ('00),725370,732110,738900,745760,752690,759680
17,Per Capita GSDP (Rs.),103600,116851,131424,146503,161111,176228
