S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",5461488,6726490,7723553,7591501,7755281,9216180
1.1,Crops,3236819,4057031,4715888,4162493,3867873,4885862
1.2,Livestock,1884801,2278539,2539923,2951299,3436285,3852198
1.3,Forestry and logging,191725,207059,218021,210741,213338,210850
1.4,Fishing and aquaculture,148143,183861,249721,266968,237785,267270
2,Mining and quarrying,1106109,1268476,1238555,1541853,1723849,1889245
Total,Primary,6567597,7994966,8962108,9133354,9479130,11105425
3,Manufacturing,6215158,5543115,5714839,6353711,6677750,7323500
4,"Electricity, gas, water supply & other utility services",783505,589605,870938,716266,661426,666068
5,Construction,2278975,2357786,2458242,2854024,3030401,3395388
Total,Secondary,9277638,8490506,9044019,9924001,10369577,11384956
6,"Trade, repair, hotels and restaurants",3747813,4454669,5127458,6494607,7481535,8786776
6.1,Trade & repair services,3048685,3647224,4456270,5724128,6634722,7841875
6.2,Hotels & restaurants,699128,807445,671188,770479,846813,944901
7,"Transport, storage, communication & services related to broadcasting",2531735,2987019,3229811,3604741,4182002,4895352
7.1,Railways,161363,175620,193048,199686,205940,208823
7.2,Road transport,1461278,1715757,1869092,2055658,2418848,2863507
7.3,Water transport,0,0,0,0,0,0
7.4,Air transport,23258,43171,34506,120691,158647,217072
7.5,Services incidental to transport,371763,484436,447736,454909,513777,593688
7.6,Storage,17531,15328,17085,19805,24206,28510
7.7,Communication & services related to broadcasting,496542,552707,668344,753992,860584,983752
8,Financial services,2126507,2363216,2659553,3023729,3312302,3700835
9,"Real estate, ownership of dwelling & professional services",5551356,6924491,8230664,9478839,10903589,12506017
10,Public administration,1131292,1265964,1433832,1711265,2061873,2244545
11,Other services,2670927,3035381,3546015,4158229,4848041,5442671
Total,Tertiary,17759630,21030740,24227333,28471410,32789342,37576197
12,TOTAL GSVA at basic prices,33604865,37516212,42233460,47528765,52638049,60066578
13,Taxes on Products,3281100,3716400,4092900,4425700,6034600,6382500
14,Subsidies on products,942700,1083300,1107800,836700,1109500,1019700
15,Gross State Domestic Product,35943265,40149312,45218560,51117765,57563149,65429378
16,Population ('00),356820,360400,364010,367660,371340,375050
17,Per Capita GSDP (Rs.),100732,111402,124223,139035,155015,174455
