S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",511201,567087,702979,799825
1.1,Crops,318959,339064,375086,397591
1.2,Livestock,33664,42223,70541,88176
1.3,Forestry and logging,109763,119262,133116,145096
1.4,Fishing and aquaculture,48815,66538,124236,168961
2,Mining and quarrying,118123,128413,130634,142391
Total,Primary,629324,695500,833613,942216
3,Manufacturing,72651,117529,125869,228625
4,"Electricity, gas, water supply & other utility services",44297,55855,55022,77870
5,Construction,148327,151630,174411,177899
Total,Secondary,265275,325014,355302,484393
6,"Trade, repair, hotels and restaurants",226839,265292,333695,390423
6.1,Trade & repair services,226839,265292,333695,390423
6.2,Hotels & restaurants,NA,NA,NA,NA
7,"Transport, storage, communication & services related to broadcasting",84316,108895,121265,155956
7.1,Railways,224,261,261,305
7.2,Road transport,NA,NA,NA,NA
7.3,Water transport,NA,NA,NA,NA
7.4,Air transport,NA,NA,NA,NA
7.5,Services incidental to transport*,46677,63696,65236,88721
7.6,Storage,151,187,205,254
7.7,Communication & services related to broadcasting,37264,44751,55563,66676
8,Financial services,57103,67963,72348,86094
9,"Real estate, ownership of dwelling & professional services",119572,135500,168765,190704
10,Public administration,241678,270564,302004,338244
11,Other services,255446,260210,316948,323287
Total,Tertiary,984954,1108424,1315025,1484709
12,TOTAL GSVA at basic prices,1879553,2128938,2503940,2911319
13,Taxes on Products,103607,118636,149345,149345
14,Subsidies on products,62319,81254,94002,94002
15,Gross State Domestic Product,1920841,2166320,2559283,2966662
16,Population ('00),37000,37440,37890,38350
17,Per Capita GSDP (Rs.),51915,57861,67545,77358
