S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",18324305,21306497,23813650,25097754,28212490
1.1,Crops,12415418,14951864,16249998,16215212,18242114
1.2,Livestock,4382274,4687592,5908922,7096876,8233666
1.3,Forestry and logging,1249516,1358583,1312393,1404936,1330196
1.4,Fishing and aquaculture,277097,308458,342337,380730,406514
2,Mining and quarrying,653517,688795,868920,901501,783973
Total,Primary,18977822,21995292,24682570,25999255,28996463
3,Manufacturing,8763582,9522404,11377466,12261649,13604096
4,"Electricity, gas, water supply & other utility services",926846,1228906,1663539,2030625,2152779
5,Construction,8487701,9320623,10048635,11256450,12225841
Total,Secondary,18178129,20071933,23089640,25548724,27982716
6,"Trade, repair, hotels and restaurants",6946589,7472500,8713200,9437243,10603082
6.1,Trade & repair services,6162196,6641138,7723813,8476139,9523247
6.2,Hotels & restaurants,784393,831362,989387,961104,1079835
7,"Transport, storage, communication & services related to broadcasting",4048142,4919874,6102126,7404509,8079924
7.1,Railways,1066108,1227911,1398344,1618742,1534567
7.2,Road transport,1976901,2477770,2885934,3645747,4269516
7.3,Water transport,1496,783,528,681,798
7.4,Air transport,7630,14732,15692,36582,42841
7.5,Services incidental to transport,9842,12019,14738,16323,19116
7.6,Storage,111006,122608,137454,171696,196868
7.7,Communication & services related to broadcasting,875159,1064051,1649436,1914737,2016218
8,Financial services,2518230,2862582,3133376,3392275,3605988
9,"Real estate, ownership of dwelling & professional services",9745417,11527819,13018473,14548185,16038848
10,Public administration,4234830,5058674,5483464,6152124,6823321
11,Other services,3540115,3862890,4318007,5034623,5623362
Total,Tertiary,31033323,35704339,40768646,45968959,50774526
12,TOTAL GSVA at basic prices,68189274,77771564,88540856,97516938,107753705
13,Taxes on Products,7063424,7797300,8962314,10107396,11008735
14,Subsidies on products,2847843,3278565,3088598,3287219,3382981
15,Gross State Domestic Product,72404855,82290299,94414572,104337115,115379459
16,Population ('00),2015910,2046780,2078120,2109940,2110940
17,Per Capita GSDP (Rs.),35917,40205,45433,49450,54658
