S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",1330208,1536643,1579095,1601423,1715039
1.1,Crops,764026,901730,850163,866146,893917
1.2,Livestock,287787,313744,351373,391188,447222
1.3,Forestry and logging,274833,317354,373062,339293,368781
1.4,Fishing and aquaculture,3562,3815,4497,4796,5119
2,Mining and quarrying,186083,205726,354844,244549,298187
Total,Primary,1516291,1742369,1933939,1845972,2013226
3,Manufacturing,4365135,5082899,5439264,5866252,6132562
4,"Electricity, gas, water supply & other utility services",398079,416111,375058,433880,541284
5,Construction,883766,936950,1243051,1342733,1833004
Total,Secondary,5646980,6435960,7057373,7642865,8506850
6,"Trade, repair, hotels and restaurants",1192897,1408869,1614577,1743106,1991602
6.1,Trade & repair services,1013998,1218822,1426694,1534073,1768221
6.2,Hotels & restaurants,178899,190047,187883,209033,223381
7,"Transport, storage, communication & services related to broadcasting",703706,825647,951652,1066693,1224232
7.1,Railways,14140,16514,17214,21295,24470
7.2,Road transport*,218487,259840,287156,307147,339240
7.3,Water transport,NA,NA,NA,NA,NA
7.4,Air transport,652,1229,2158,3889,7053
7.5,Services incidental to transport,NA,NA,NA,-76,NA
7.6,Storage,579,678,735,660,699
7.7,Communication & services related to broadcasting,469848,547386,644389,733778,852770
8,Financial services,293318,320421,357514,385030,421624
9,"Real estate, ownership of dwelling & professional services",588825,671182,739177,831307,935310
10,Public administration,412001,323723,483887,579409,711920
11,Other services,498856,668947,827478,982430,1255262
Total,Tertiary,3689603,4218789,4974285,5587975,6539950
12,TOTAL GSVA at basic prices,10852874,12397118,13965597,15076812,17060026
13,Taxes on Products,919682,1067367,1274054,1434856,1704821
14,Subsidies on products,220207,280963,257991,313139,355716
15,Gross State Domestic Product,11552349,13183522,14981660,16198529,18409131
16,Population ('00),101650,103020,104410,105820,107240
17,Per Capita GSDP (Rs.),113648,127971,143489,153076,171663
